x,y
-714607.404902953654528,-1071852.236097000539303
-714538.440873660147190,-1071499.690280523151159
-714422.406695436686277,-1071406.065120458602905
-714105.857835292816162,-1071438.231023170053959
-713812.118927679955959,-1071675.360302913933992
-713611.613675404340029,-1071789.080551993101835
-713230.043074432760477,-1072189.630924984812737
-712925.159029550850391,-1072267.093680236488581
-712672.461936254054308,-1072131.054343834519386
-712400.542170364409685,-1071688.775538958609104
-712370.827101219445467,-1071613.746504221111536
-712132.160091485828161,-1071223.992371775209904
-712165.278038699179888,-1071145.128441706299782
-712248.855392325669527,-1070894.061628576368093
-719983.505043171346188,-1075441.517739702016115
-719246.256762523204088,-1075158.371986106038094
-718869.717748183757067,-1075119.637639891356230
-718668.552770275622606,-1075024.250708550214767
-718406.814746655523777,-1074666.198854796588421
-717933.494087211787701,-1074394.777113653719425
-717725.861423261463642,-1074228.090395998209715
-717038.373882465064526,-1073947.415033742785454
-715855.996251363307238,-1073659.251837976276875
-715345.809362374246120,-1073795.238088991492987
-714734.890507157891989,-1073861.293248634785414
-714439.174343507736921,-1073713.542821876704693
-717538.013368658721447,-1074110.653122104704380
-725319.694926004856825,-1076745.902004290372133
-724076.564387518912554,-1076600.865044068545103
-723988.888283237814903,-1076691.122599907219410
-723736.267150938510895,-1076744.940355524420738
-723398.376044437289238,-1076808.148287430405617
-723030.486979559063911,-1076689.493891343474388
-722449.311482410877943,-1076700.133495073765516
-721805.357102025300264,-1076913.343617100268602
-721522.262862209230661,-1076887.473920665681362
-720506.257976640015841,-1077177.142366543412209
-719953.371926605701447,-1077814.794952716678381
-726215.346333865076303,-1080049.704930342733860
-725877.783518575131893,-1079813.623388499021530
-725207.071658506989479,-1079870.723532326519489
-724980.608175940811634,-1079712.984147075563669
-724869.708262663334608,-1079390.669759903103113
-724713.148455660790205,-1079357.382428396493196
-724569.077509779483080,-1079557.357350673526525
-724502.270598195493221,-1079165.262047894299030
-724200.269054897129536,-1079186.199867423623800
-724157.443816058337688,-1079120.073810849338770
-723308.778738096356392,-1078825.642523106187582
-722836.456398244947195,-1078967.714385081082582
-722237.748229738324881,-1078981.451276659965515
-721452.102665483951569,-1078861.475333839654922
-720871.007844153791666,-1078586.407464813441038
-720015.036016717553139,-1078057.849539518356323
-719829.860566873103380,-1077413.281708598136902
-719754.491715807467699,-1076327.694628376513720
-714280.673252806067467,-1074594.906053401529789
-714144.587466690689325,-1073779.947925977408886
-711026.034030627459288,-1075791.234663855284452
-711648.549074277281761,-1075290.540629468858242
-711918.854625310748816,-1074903.769406817853451
-712185.378017157316208,-1074147.016262836754322
-712204.901739768683910,-1073722.133050277829170
-712182.642373505979776,-1073619.898104038089514
-712336.990056559443474,-1073465.494890876114368
-712287.898122727870941,-1073191.799558497965336
-712281.217571269720793,-1072726.710801091045141
-712084.452568665146828,-1072146.048870135098696
-711540.581255502998829,-1071256.418637353926897
-711788.249381516128778,-1071189.009974971413612
-726002.556703981012106,-1083718.177397336810827
-725527.746859736740589,-1083199.303189564496279
-725519.893889568746090,-1082606.164970345795155
-725434.593880217522383,-1082402.732513006776571
-724396.379570558667183,-1082010.038078770041466
-724229.222767833620310,-1081898.657952290028334
-724037.269152279943228,-1081813.543217923492193
-723478.099294204264879,-1081710.416472107172012
-723193.577336877584457,-1081463.975072551518679
-722921.904487885534763,-1081391.669632479548454
-722125.950405079871416,-1081627.676610309630632
-721825.571458537131548,-1081618.413559556007385
-710758.840261150151491,-1078489.298925481736660
-710325.135619360953569,-1078316.932420685887337
-710250.863400634378195,-1078615.608443897217512
-710074.573815897107124,-1078787.397645112127066
-710019.644934240728617,-1078570.861828375607729
-709978.819128558039665,-1078597.543870929628611
-715162.926712296903133,-1080069.684942811727524
-714814.625107418745756,-1080375.843036975711584
