x1,y1,x2,y2,TRIDA,SHAPE_Length
-713230.043074432760477,-1072189.630924984812737,-712925.159029550850391,-1072267.093680236488581,4,314.570754004143851
-712925.159029550850391,-1072267.093680236488581,-712672.461936254054308,-1072131.054343834519386,4,286.988714080079831
-712672.461936254054308,-1072131.054343834519386,-712400.542170364409685,-1071688.775538958609104,4,519.182916055548390
-712400.542170364409685,-1071688.775538958609104,-712370.827101219445467,-1071613.746504221111536,4,80.699079226039629
-712370.827101219445467,-1071613.746504221111536,-712132.160091485828161,-1071223.992371775209904,4,457.023221832155912
-712132.160091485828161,-1071223.992371775209904,-712165.278038699179888,-1071145.128441706299782,4,85.535477397044417
-712165.278038699179888,-1071145.128441706299782,-712248.855392325669527,-1070894.061628576368093,4,264.612393312231973
-720047.616823635995388,-1075571.999525047838688,-719983.505043171346188,-1075441.517739702016115,4,145.381624359410324
-719983.505043171346188,-1075441.517739702016115,-719246.256762523204088,-1075158.371986106038094,4,789.750938649696081
-719246.256762523204088,-1075158.371986106038094,-718869.717748183757067,-1075119.637639891356230,4,378.526061053134242
-718869.717748183757067,-1075119.637639891356230,-718668.552770275622606,-1075024.250708550214767,4,222.634262878515329
-718668.552770275622606,-1075024.250708550214767,-718406.814746655523777,-1074666.198854796588421,4,443.517669304125491
-718406.814746655523777,-1074666.198854796588421,-717933.494087211787701,-1074394.777113653719425,4,545.620938217440312
-717933.494087211787701,-1074394.777113653719425,-717725.861423261463642,-1074228.090395998209715,4,266.262624079828015
-717038.373882465064526,-1073947.415033742785454,-715855.996251363307238,-1073659.251837976276875,4,1216.985985919382074
-715855.996251363307238,-1073659.251837976276875,-715345.809362374246120,-1073795.238088991492987,4,527.998979318625175
-715345.809362374246120,-1073795.238088991492987,-714734.890507157891989,-1073861.293248634785414,4,614.479561722244398
-714734.890507157891989,-1073861.293248634785414,-714439.174343507736921,-1073713.542821876704693,4,330.572591197697875
-714439.174343507736921,-1073713.542821876704693,-714169.021762207150459,-1073411.827834893018007,4,404.986852322314519
-717725.861423261463642,-1074228.090395998209715,-717538.013368658721447,-1074110.653122104704380,4,221.536464081137211
-717538.013368658721447,-1074110.653122104704380,-717038.373882465064526,-1073947.415033742785454,4,525.629422365144137
-725708.973036199808121,-1076622.643847882747650,-725319.694926004856825,-1076745.902004290372133,5,408.325875004216527
-725319.694926004856825,-1076745.902004290372133,-724076.564387518912554,-1076600.865044068545103,5,1251.562725374458068
-724076.564387518912554,-1076600.865044068545103,-723988.888283237814903,-1076691.122599907219410,5,125.831338099383345
-723988.888283237814903,-1076691.122599907219410,-723736.267150938510895,-1076744.940355524420738,5,258.290122350536762
-723736.267150938510895,-1076744.940355524420738,-723398.376044437289238,-1076808.148287430405617,5,343.752298186428902
-723398.376044437289238,-1076808.148287430405617,-723030.486979559063911,-1076689.493891343474388,5,386.550423318523144
-723030.486979559063911,-1076689.493891343474388,-722449.311482410877943,-1076700.133495073765516,5,581.272878821108179
-722449.311482410877943,-1076700.133495073765516,-721805.357102025300264,-1076913.343617100268602,5,678.333104125347518
-721805.357102025300264,-1076913.343617100268602,-721522.262862209230661,-1076887.473920665681362,5,284.273793745846376
-721522.262862209230661,-1076887.473920665681362,-720506.257976640015841,-1077177.142366543412209,5,1056.491238031690045
-720506.257976640015841,-1077177.142366543412209,-719953.371926605701447,-1077814.794952716678381,5,843.969078210807993
-726215.346333865076303,-1080049.704930342733860,-725877.783518575131893,-1079813.623388499021530,5,411.926144673748070
-725877.783518575131893,-1079813.623388499021530,-725207.071658506989479,-1079870.723532326519489,5,673.138043540244666
-725207.071658506989479,-1079870.723532326519489,-724980.608175940811634,-1079712.984147075563669,5,275.984460786021430
-724980.608175940811634,-1079712.984147075563669,-724869.708262663334608,-1079390.669759903103113,5,340.859729131076335
